"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"DGJ","Deep Bay, AK: Deep Bay","Deep Bay, AK","Alaska",
"MCL","Denali National Park, AK: Denali National Park Airport","Denali National Park, AK","Alaska",
"ZXO","El Capitan, AK: El Capitan Peak","El Capitan, AK","Alaska",
"EXI","Excursion Inlet, AK: Excursion","Excursion Inlet, AK","Alaska",
"/FA","Fairbanks, AK: (Fairbanks Mean)","Fairbanks, AK","Alaska",
"FOA","Fortuna Ledge, AK: Marshall Field","Fortuna Ledge, AK","Alaska",
"ZXJ","Happy Harbour, AK: Happy Harbour Airport","Happy Harbour, AK","Alaska",
"HAY","Haycock, AK: Haycock Airport","Haycock, AK","Alaska",
"HBH","Hobart Bay, AK: Hobart Bay Airport","Hobart Bay, AK","Alaska",
"/JU","Juneau, AK: Juneau Municipal","Juneau, AK","Alaska",
"/JU","Juneau, AK: Juneau Airport","Juneau, AK","Alaska",
"/KD","Kodiak, AK: Kodiak Ns","Kodiak, AK","Alaska",
"WLB","Labouchere Bay, AK: Labouchere Bay Airport","Labouchere Bay, AK","Alaska",
"LMA","Lake Minchumina, AK: Minchumina","Lake Minchumina, AK","Alaska",
"ZXK","Lancaster Cove, AK: Lancaster Cove Airport","Lancaster Cove, AK","Alaska",
"LIJ","Long Island, AK: Long Island Airport","Long Island, AK","Alaska",
"LHB","Lost Harbor, AK: Lost Harbor Airport","Lost Harbor, AK","Alaska",
"MLY","Manley Hot Springs, AK: Manley Hot Springs","Manley Hot Springs, AK","Alaska",
"MTM","Metlakatla, AK: Metlakatala","Metlakatla, AK","Alaska",
"KPV","Perryville, AK: Perryville Airport","Perryville, AK","Alaska",
"/PP","Pilot Point, AK: (Pilot Point Mean)","Pilot Point, AK","Alaska",
"PCA","Portage Creek, AK: Portage Creek Airport","Portage Creek, AK","Alaska",
"SCC","Prudhoe Bay/Deadhorse, AK: Deadhorse","Prudhoe Bay/Deadhorse, AK","Alaska",
"KWN","Quinhagak, AK: Kwinhagak","Quinhagak, AK","Alaska",
"ZXL","Reid Cove, AK: Reid Cove Airport","Reid Cove, AK","Alaska",
"RWB","Rowan Bay, AK: Rowan Bay","Rowan Bay, AK","Alaska",
"ZXP","Salmon Bay Lake, AK: Salmon Bay Lake Airport","Salmon Bay Lake, AK","Alaska",
"ZXM","Saltery Cove, AK: Saltery Cove Airport","Saltery Cove, AK","Alaska",
"SVA","Savoonga, AK: Savoonga Airport","Savoonga, AK","Alaska",
"SOL","Solomon, AK: Solomon State","Solomon, AK","Alaska",
"HBK","Hinchinbrook, AK: Johnstone Point","Hinchinbrook, AK","Alaska",
"/UM","Umnak, AK: (Umnak Mean)","Umnak, AK","Alaska",
"TKJ","Tok, AK: Tok Airport","Tok, AK","Alaska",
"NAX","Barbers Point, HI: Barbers Point Nas","Barbers Point, HI","Hawaii",
"HNM","Hana, HI: Hana Airport","Hana, HI","Hawaii",
"PAK","Hanapepe, HI: Port Allen","Hanapepe, HI","Hawaii",
"ITO","Hilo, HI: General Lyman","Hilo, HI","Hawaii",
"HNL","Honolulu, HI: Honolulu International","Honolulu, HI","Hawaii",
"HIK","Honolulu, HI: Hickam Air Force Base","Honolulu, HI","Hawaii",
"MKK","Hoolehua, HI: Molokai","Hoolehua, HI","Hawaii",
"HKP","Kaanapali, HI: Kaanapali Airport","Kaanapali, HI","Hawaii",
"OGG","Kahului, HI: Kahului Airport","Kahului, HI","Hawaii",
"LUP","Kalaupapa, HI: Kalaupapa Airport","Kalaupapa, HI","Hawaii",
"MUE","Kamuela, HI: Waimea Kohala","Kamuela, HI","Hawaii",
"NGF","Kaneohe, HI: Kaneohe Bay Marine Corps Field","Kaneohe, HI","Hawaii",
"JHM","Kapalua, HI: Kapalua West Maui","Kapalua, HI","Hawaii",
"LNY","Lanai, HI: Lanai Airport","Lanai, HI","Hawaii",
"LIH","Lihue, HI: Lihue Airport","Lihue, HI","Hawaii",
"HPV","Hanalei, HI: Princeville","Hanalei, HI","Hawaii",
"PWM","Portland, ME: Portland International  Jetport","Portland, ME","Maine",
"PQI","Presque Isle/Houlton, ME: Presque Isle Municipal","Presque Isle/Houlton, ME","Maine",
"RKD","Rockland, ME: Knox County Regional","Rockland, ME","Maine",
"SFM","Sanford, ME: Sanford Municipal","Sanford, ME","Maine",
"/AG","Augusta/Waterville, ME: /Ag Augusta/Waterville","Augusta/Waterville, ME","Maine",
"CAR","Caribou, ME: Caribou Municipal","Caribou, ME","Maine",
"WFK","Madawaska/Fort Kent, ME: Fort Kent","Madawaska/Fort Kent, ME","Maine",
"BED","Bedford, MA: Laurence G Hanscom Field","Bedford, MA","Massachusetts",
"BVY","Beverly, MA: Beverly Municipal","Beverly, MA","Massachusetts",
"JBC","Boston, MA: Boston City Heliport","Boston, MA","Massachusetts",
"QQD","Boston, MA: Nashua Street Heliport","Boston, MA","Massachusetts",
"BOS","Boston, MA: Logan International","Boston, MA","Massachusetts",
"XXG","Cambridge, MA: Arthur D. Little Heliport","Cambridge, MA","Massachusetts",
"CEF","Chicopee Falls, MA: Westover Air Force Base","Chicopee Falls, MA","Massachusetts",
"FMH","Falmouth, MA: Otis Air Force Base","Falmouth, MA","Massachusetts",
"UXO","Fitchburg, MA: Fitchburg Municipal","Fitchburg, MA","Massachusetts",
"GDM","Gardner, MA: Gardner Municipal","Gardner, MA","Massachusetts",
"HYA","Hyannis, MA: Barnstable Municipal","Hyannis, MA","Massachusetts",
"LWM","Lawrence, MA: Lawrence Municipal","Lawrence, MA","Massachusetts",
"MVY","Martha's Vineyrd, MA: Marthas Vineyard","Martha's Vineyrd, MA","Massachusetts",
"ACK","Nantucket, MA: Nantucket Memorial","Nantucket, MA","Massachusetts",
"EWB","New Bedford/Fall River, MA: New Bedford Municipal","New Bedford/Fall River, MA","Massachusetts",
"OWD","Norwood, MA: Norwood Memorial","Norwood, MA","Massachusetts",
"JZB","Orange, MA: Orange Municipal","Orange, MA","Massachusetts",
"PSF","Pittsfield, MA: Pittsfield Municipal","Pittsfield, MA","Massachusetts",
"PYM","Plymouth, MA: Plymouth Municipal","Plymouth, MA","Massachusetts",
"PVC","Provincetown, MA: Provincetown Municipal","Provincetown, MA","Massachusetts",
"NZW","South Weymouth, MA: South Weymouth Nas","South Weymouth, MA","Massachusetts",
"RQM","Sterling, MA: Sterling Airport","Sterling, MA","Massachusetts",
"WLM","Waltham, MA: Waltham Hospital Heliport","Waltham, MA","Massachusetts",
"BAF","Westfield, MA: Barnes Municipal","Westfield, MA","Massachusetts",
"ORH","Worcester, MA: Worchester Municipal","Worcester, MA","Massachusetts",
"/BO","Boston, MA: (Boston Mean)","Boston, MA","Massachusetts",
"BXC","Boxborough, MA: Sheraton Inn Heliport","Boxborough, MA","Massachusetts",
"BBF","Burlington, MA: Laurence Hanscom","Burlington, MA","Massachusetts",
"GBR","Great Barrington, MA: Gr.Barrington","Great Barrington, MA","Massachusetts",
"BML","Berlin, NH: Berlin Municipal","Berlin, NH","New Hampshire",
"ASH","Nashua, NH: Boire Field","Nashua, NH","New Hampshire",
"CON","Concord, NH: Concord Municipal","Concord, NH","New Hampshire",
"EEN","Keene, NH: Dillant Hopkins","Keene, NH","New Hampshire",
"LCI","Laconia, NH: Laconia Municipal","Laconia, NH","New Hampshire",
"PSM","Portsmouth, NH: Portsmouth Pease International","Portsmouth, NH","New Hampshire",
"HIE","Whitefield, NH: Whitefield Regional","Whitefield, NH","New Hampshire",
"LEB","Lebanon-Hanover, NH: Lebanon Municipal","Lebanon-Hanover, NH","New Hampshire",
"BID","Block Island, RI: Block Island  R.I.","Block Island, RI","Rhode Island",
"NPT","Newport, RI: Newport State","Newport, RI","Rhode Island",
"ZXU","North Kingstown, RI: Quonset State","North Kingstown, RI","Rhode Island",
"PVD","Providence, RI: Theodore Francis Green","Providence, RI","Rhode Island",
"NCO","Quonset Point, RI: Quonset State","Quonset Point, RI","Rhode Island",
"WST","Westerly, RI: Westerly State","Westerly, RI","Rhode Island",
"JZU","Bennington, VT: Wm H Morse State","Bennington, VT","Vermont",
"BTV","Burlington, VT: Burlington International","Burlington, VT","Vermont",
"LEB","White River Junction, VT: Lebanon Regional","White River Junction, VT","Vermont",
"MPV","Montpelier/Barre, VT: Edward F Knapp State","Montpelier/Barre, VT","Vermont",
"EFK","Newport, VT: Newport State","Newport, VT","Vermont",
"RUT","Rutland, VT: Rutland State","Rutland, VT","Vermont",
"SFK","Stony Fork: Aero Acres","Stony Fork","",
"OGB","Orangeburg, SC: Orangeburg Airport","Orangeburg, SC","South Carolina",
"NCN","New Chenega, AK: New Chenega Airport","New Chenega, AK","Alaska",
"NQT","New Nuiqsut, AK: New Nuiqsut Airport","New Nuiqsut, AK","Alaska",
"TPB","Topeka: Allen Air Park","Topeka","",
"SDA","Shenandoah, IA: Shenandoah Municipal","Shenandoah, IA","Iowa",
"NIE","Niblack, AK: Niblack Airport","Niblack, AK","Alaska",
"QBY","North Bass Island , OH: North Bass Island","North Bass Is., OH","Ohio",
"MRQ","Grand Case, Guadeloupe-France: Grand Case A/D","Grand Case, Guadeloupe-France","",
"OAK","Oakland, CA: Oakland International --Midpoint","Oakland, CA","California",
"JDT","Minneapolis, MN: Minn.Heliport","Minneapolis, MN","Minnesota",
"ONN","Onion Bay, AK: Onion Bay Airport","Onion Bay, AK","Alaska",
"ONT","Ontario, CA: Ontario International --Midpoint","Ontario, CA","California",
"JRC","Rochester, MN: Appache Heliport","Rochester, MN","Minnesota",
"QUQ","Paonia: North Folk Valley","Paonia","",
"QAV","Ash Meadows, NV: Wash Meadows","Ash Meadows, NV","Nevada",
"SLR","Sulphur Springs, TX: Sulphur Springs Municipal","Sulphur Springs, TX","Texas",
"PGS","Peach Springs, AZ: Peach Springs Dirt Strip","Peach Springs, AZ","Arizona",
"LOL","Lovelock, NV: Derby Field","Lovelock, NV","Nevada",
"JAJ","Perimeter Mall: Perimeter Mall, Ga.","Perimeter Mall","",
"HIA","Hiawatha, KS: Hiawatha Municipal","Hiawatha, KS","Kansas",
"QAS","Houston: Astrodomain Helipad","Houston","",
"QHI","Houston: Astroworld Heli.","Houston","",
"PVW","Plainview, TX: Hale County","Plainview, TX","Texas",
"KAH","Kahuku Point: Kahuku","Kahuku Point","",
"QAK","Port Clinton, OH: Carl R Keller Field","Port Clinton, OH","Ohio",
"POD","Port Frederick, AK: Port Frederick","Port Frederick, AK","Alaska",
"PJS","Port San Juan, AK: Port San Juan Airport","Port San Juan, AK","Alaska",
"POC","Port Oceanic, AK: Port Oceanic","Port Oceanic, AK","Alaska",
"OSX","Kosciusko, MS: Kosciusko/Attala County","Kosciusko, MS","Mississippi",
"XXJ","Port Protection, AK: Port Protection Airport","Port Protection, AK","Alaska",
"PRD","Pine Ridge, SD: Pine Ridge Airport","Pine Ridge, SD","South Dakota",
"WKS","Kansas City: Shawnee Mission","Kansas City","",
"PWS","Prince Wm. Sound: Prince William Sound","Prince Wm. Sound","",
"PRZ","Prineville, OR: Prineville Airport","Prineville, OR","Oregon",
"RSP","Raspberry Strait, AK: Raspberry Straits","Raspberry Strait, AK","Alaska",
"WLW","Willows, CA: Willows Glenn County","Willows, CA","California",
"CNK","Concordia, KS: Blosser Municipal","Concordia, KS","Kansas",
"ALX","Alexander City, AL: Thomas C Russell","Alexander City, AL","Alabama",
"IRV","Irvington: Roy E. Ray Airport","Irvington","",
"STG","St. George, AK: St. George Airport","St. George, AK","Alaska",
"QBM","Put-In-Bay, OH: Put-In-Bay Airport","Put-In-Bay, OH","Ohio",
"QBH","Lathrop Wells: Jackass Aeropark","Lathrop Wells","",
"WAR","Warsaw, IN: Warsaw Municipal","Warsaw, IN","Indiana",
"SFO","San Francisco: San Francisco Intl--Midpoint","San Francisco","",
"QAU","Lida Goldfield: Lida Junction","Lida Goldfield","",
"SRF","San Rafael, CA: San Rafael Gnoss-Hamilton","San Rafael, CA","California",
"QPO","Post Oak Manor, TX: Post Oak Manor Airport","Post Oak Manor, TX","Texas",
"QFX","Avalon: Camp Fox","Avalon","",
"CEE","Creede, CO: Mineral County Memorial","Creede, CO","Colorado",
"SUC","Sundance, WY: Schloredt","Sundance, WY","Wyoming",
"SRC","Searcy, AR: Searcy Municipal","Searcy, AR","Arkansas",
"SHW","Shaw Island: Shaw Is.,wa.","Shaw Island","",
"WSH","Shirley, NY: Brookhaven","Shirley, NY","New York",
"QAF","Jackpot, NV: Jackpot Airport","Jackpot, NV","Nevada",
"XXI","Smith Cove, AK: Smith Cove Airport","Smith Cove, AK","Alaska",
"QAN","St. John: St.John,cruz Bay V.I.","St. John","",
"BCS","Belle Chasse, LA: Southern Belle Chasse Sea Plane Base","Belle Chasse, LA","Louisiana",
"CYH","Springerville: Springerville-Eager Muni Arpt","Springerville","",
"SOR","Winfield, KS: Oxford Municipal","Winfield, KS","Kansas",
"PVZ","Painesville, OH: Casement","Painesville, OH","Ohio",
"SMT","Stone Mountain: Stone Mountain","Stone Mountain","",
"MKK","Molokai, HI: Molokai Airport","Molokai, HI","Hawaii",
"HPV","Princeville, HI: Princeville Airport","Princeville, HI","Hawaii",
"UPP","Upolo Point, HI: Upolu","Upolo Point, HI","Hawaii",
"BQN","Aguadilla, PR: Borinquen","Aguadilla, PR","Puerto Rico",
"ARE","Arecibo, PR: Antonio/Nery/Juarbe Pol","Arecibo, PR","Puerto Rico",
"FAJ","Fajardo, PR: Fajardo Airport","Fajardo, PR","Puerto Rico",
"HUC","Humacao, PR: Humacao Airport","Humacao, PR","Puerto Rico",
"PPD","Humacao, PR: Palmas Del Mar","Humacao, PR","Puerto Rico",
"MAZ","Mayaguez, PR: Eugenio Maria De Hostos","Mayaguez, PR","Puerto Rico",
"PSE","Ponce, PR: Mercedita","Ponce, PR","Puerto Rico",
"NRR","Roosevelt Roads, PR: Roosevelt Roads Nas","Roosevelt Roads, PR","Puerto Rico",
"SIG","San Juan, PR: Isla Grande","San Juan, PR","Puerto Rico",
"SJU","San Juan, PR: Luis Munoz Marin International","San Juan, PR","Puerto Rico",
"VQS","Vieques, PR: Vieques Airport","Vieques, PR","Puerto Rico",
"CPX","Culebra, PR: Culebra Airport","Culebra, PR","Puerto Rico",
"DDP","Dorado, PR: Dorado Airport","Dorado, PR","Puerto Rico",
"/HU","Humacao, PR: Humacao Airport","Humacao, PR","Puerto Rico",
"/SU","San Juan, PR: San Juan Airport","San Juan, PR","Puerto Rico",
"STT","Charlotte Amalie, VI: Harry S. Truman","Charlotte Amalie, VI","U.S. Virgin Islands",
"STX","Christiansted, VI: Alexander Hamilton","Christiansted, VI","U.S. Virgin Islands",
"SSB","Christiansted, VI: Seaplane Base","Christiansted, VI","U.S. Virgin Islands",
"SJF","St. John, VI: St. John Airport","St. John, VI","U.S. Virgin Islands",
"/CR","Charlotte Amalie, VI: Charlotte Amalie Airport","Charlotte Amalie, VI","U.S. Virgin Islands",
"SPB","Charlotte Amalie, VI: Seaplane Base","Charlotte Amalie, VI","U.S. Virgin Islands",
"/SX","Christiansted, VI: Christiansted Airport","Christiansted, VI","U.S. Virgin Islands",
"GUM","Guam, TT: A.B. Won Pat International","Guam, TT","U.S. Pacific Trust Territories And Possessions",
"NGM","Guam, TT: Agana Nas","Guam, TT","U.S. Pacific Trust Territories And Possessions",
"UAM","Guam, TT: Anderson Air Force Base","Guam, TT","U.S. Pacific Trust Territories And Possessions",
"JON","Johnston Island, TT: Johnston Atoll","Johnston Island, TT","U.S. Pacific Trust Territories And Possessions",
"ROR","Koror, TT: Babelthuap","Koror, TT","U.S. Pacific Trust Territories And Possessions",
"OFU","Ofu, TT: Ofu Airport","Ofu, TT","U.S. Pacific Trust Territories And Possessions",
"PPG","Pago Pago, TT: Pago Pago International","Pago Pago, TT","U.S. Pacific Trust Territories And Possessions",
"ROP","Rota, TT: Rota International","Rota, TT","U.S. Pacific Trust Territories And Possessions",
"SPN","Saipan, TT: Saipan International","Saipan, TT","U.S. Pacific Trust Territories And Possessions",
"TAV","Tau, TT: Tau Airport","Tau, TT","U.S. Pacific Trust Territories And Possessions",
"TIQ","Tinian, TT: West Tinian","Tinian, TT","U.S. Pacific Trust Territories And Possessions",
"AWK","Wake Island, TT: Wake Island Airfield","Wake Island, TT","U.S. Pacific Trust Territories And Possessions",
"/GM","Guam, TT: (Guam Mean)","Guam, TT","U.S. Pacific Trust Territories And Possessions",
"BDR","Bridgeport, CT: Igor I Sikorsky Memorial","Bridgeport, CT","Connecticut",
"DXR","Danbury, CT: Danbury Municipal","Danbury, CT","Connecticut",
"EHT","East Hartford, CT: Rentschler","East Hartford, CT","Connecticut",
"BDL","Hartford, CT: Bradley International","Hartford, CT","Connecticut",
"HFD","Hartford, CT: Hartford Brainard","Hartford, CT","Connecticut",
"BDL","Hartford, CT: Bradley International","Hartford, CT","Connecticut",
"HVN","New Haven, CT: Tweed New Haven","New Haven, CT","Connecticut",
"GON","New London/Groton, CT: Trumbull","New London/Groton, CT","Connecticut",
"OXC","Waterbury, CT: Waterbury Oxford","Waterbury, CT","Connecticut",
"/HR","Hartford/Sprngfld/Westfld, CT: Hartford","Hartford/Sprngfld/Westfld, CT","Connecticut",
"/HR","Hartford/Sprngfld/Westfld, CT: Hartford","Hartford/Sprngfld/Westfld, CT","Connecticut",
"/HR","Hartford, CT: (Hartford Mean)","Hartford, CT","Connecticut",
"AUG","Augusta/Waterville, ME: Augusta","Augusta/Waterville, ME","Maine",
"WVL","Augusta/Waterville, ME: Waterville Robert Lafleur","Augusta/Waterville, ME","Maine",
"BGR","Bangor, ME: Bangor International","Bangor, ME","Maine",
"BHB","Bar Harbor, ME: Bar Harbor Airport","Bar Harbor, ME","Maine",
"NHZ","Brunswick, ME: Brunswick Nas","Brunswick, ME","Maine",
"XWJ","Dexter, ME: Dexter Regional","Dexter, ME","Maine",
"LEW","Lewiston/Auburn, ME: Auburn Lewiston Municipal","Lewiston/Auburn, ME","Maine",
"LIZ","Limestone, ME: Loring Air Force Base","Limestone, ME","Maine",
"MLT","Millinocket, ME: Millinocket Municipal","Millinocket, ME","Maine",
"LXV","Leadville, CO: Lake County","Leadville, CO","Colorado",
"LIC","Limon, CO: Limon Municipal","Limon, CO","Colorado",
"MTJ","Montrose/Delta, CO: Montrose County","Montrose/Delta, CO","Colorado",
"PUB","Pueblo, CO: Pueblo Memorial","Pueblo, CO","Colorado",
"RNG","Rangely, CO: Rangely Airport","Rangely, CO","Colorado",
"SLT","Salida, CO: Harriet Alexander Field","Salida, CO","Colorado",
"SBS","Steamboat Springs, CO: Steamboat Springs","Steamboat Springs, CO","Colorado",
"HDN","Steamboat Springs/Hayden, CO: Hayden","Steamboat Springs/Hayden, CO","Colorado",
"TEX","Telluride, CO: Telluride Regional","Telluride, CO","Colorado",
"CNE","Canon City, CO: Fremont County","Canon City, CO","Colorado",
"CQL","Carbondale, CO: Glen.Aspen County","Carbondale, CO","Colorado",
"WCI","Craig, CO: Craig Airport","Craig, CO","Colorado",
"CIG","Craig, CO: Craig-Moffat","Craig, CO","Colorado",
"CSE","Crested Butte, CO: Crested Butte Airport","Crested Butte, CO","Colorado",
"/DE","Denver, CO: (Denver Mean)","Denver, CO","Colorado",
"/DE","Denver, CO: (Denver Mean)","Denver, CO","Colorado",
"/DU","Durango, CO: /Durango Colorado","Durango, CO","Colorado",
"/DU","Durango, CO: Durango Airport","Durango, CO","Colorado",
"AMK","Durango, CO: Animas Air Park","Durango, CO","Colorado",
"WWI","Granby, CO: Granby Grand County","Granby, CO","Colorado",
"GNY","Granby, CO: Granby","Granby, CO","Colorado",
"LHX","La Junta, CO: La Junta Municipal","La Junta, CO","Colorado",
"RIL","Rifle, CO: Garfield County","Rifle, CO","Colorado",
"/SB","Steamboat Springs/Hayden, CO: /Sb Steamboat Springs/Hayden","Steamboat Springs/Hayden, CO","Colorado",
"STK","Sterling, CO: Crosson Field","Sterling, CO","Colorado",
"TAD","Trinidad, CO: Trinidad Airport","Trinidad, CO","Colorado",
"JZO","American Falls, ID: American Falls Airport","American Falls, ID","Idaho",
"RQB","Atomic City, ID: Big Southern Butte","Atomic City, ID","Idaho",
"VWP","Bernard, ID: Bernard Usfs","Bernard, ID","Idaho",
"XWL","Blackfoot, ID: Mccarley Field","Blackfoot, ID","Idaho",
"BOI","Boise, ID: Boise Air Terminal","Boise, ID","Idaho",
"QQL","Bonners Ferry, ID: Boundary County","Bonners Ferry, ID","Idaho",
"BYI","Burley/Rupert, ID: Burley Municipal","Burley/Rupert, ID","Idaho",
"COE","Coeur D'alene, ID: Coeur D Alene Air Term","Coeur D'alene, ID","Idaho",
"XWW","Driggs, ID: Teton Peaks","Driggs, ID","Idaho",
"ZXS","Elk River, ID: Elk River Municipal","Elk River, ID","Idaho",
"JZY","Grangeville, ID: Idaho County","Grangeville, ID","Idaho",
"IDA","Idaho Falls, ID: Fanning Field","Idaho Falls, ID","Idaho",
"XWF","Jerome, ID: Jerome County","Jerome, ID","Idaho",
"LWS","Lewiston, ID: Lewiston Nez Perce County","Lewiston, ID","Idaho",
"MYL","Mccall, ID: Mc Call","Mccall, ID","Idaho",
"MUO","Mountain Home, ID: Mountain Home Air Force Base","Mountain Home, ID","Idaho",
"VZJ","Payette, ID: Payette Municipal","Payette, ID","Idaho",
"PIH","Pocatello, ID: Pocatello Municipal","Pocatello, ID","Idaho",
"FVS","Rexburg, ID: Rexburg-Madison County","Rexburg, ID","Idaho",
"WQF","Rigby, ID: Rigby-Jefferson County","Rigby, ID","Idaho",
"DQD","Soda Springs, ID: Soda Springs Airport","Soda Springs, ID","Idaho",
"UXF","St. Anthony, ID: Stanford Field","St. Anthony, ID","Idaho",
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial","Sun Valley/Hailey/Ketchum, ID","Idaho",
"TWF","Twin Falls, ID: Twin Falls City/Co Joslin","Twin Falls, ID","Idaho",
"CHL","Challis, ID: Challis Airport","Challis, ID","Idaho",
"SMN","Salmon, ID: Salmon Airport","Salmon, ID","Idaho",
"BIL","Billings, MT: Logan International","Billings, MT","Montana",
"BZN","Bozeman, MT: Gallatin Field","Bozeman, MT","Montana",
"WQT","Bridger, MT: Bridger Municipal","Bridger, MT","Montana",
"BTM","Butte, MT: Bert Mooney Silver Bow County","Butte, MT","Montana",
"UXY","Circle, MT: Circle Town County","Circle, MT","Montana",
"FVN","Culbertson, MT: Big Sky Field","Culbertson, MT","Montana",
"CTB","Cut Bank, MT: Cut Bank Municipal","Cut Bank, MT","Montana",
"VWW","Deer Lodge, MT: Deer Lodge City/Co","Deer Lodge, MT","Montana",
"GGW","Glasgow, MT: Glasgow International","Glasgow, MT","Montana",
"GDV","Glendive, MT: Mont  Dawson Community","Glendive, MT","Montana",
"GNU","Goodnews Bay, AK: Goodnews","Goodnews Bay, AK","Alaska",
"FVX","Grace Harbor, AK: Grace Harbor Airport","Grace Harbor, AK","Alaska",
"VWZ","Granite Creek Mine, AK: Granite Creek Mine Airport","Granite Creek Mine, AK","Alaska",
"GMT","Granite Mountain, AK: Granite Mountain Afs","Granite Mountain, AK","Alaska",
"XWA","Granite Point, AK: Granite Point Ndb","Granite Point, AK","Alaska",
"KGX","Grayling, AK: Grayling Airport","Grayling, AK","Alaska",
"GKN","Gulkana, AK: Gulkana Airport","Gulkana, AK","Alaska",
"GST","Gustavus, AK: Gustavus Airport","Gustavus, AK","Alaska",
"VZU","Hagemeister Island, AK: Hagemeister Island Airport","Hagemeister Island, AK","Alaska",
"/HN","Haines, AK: (Haines Mean)","Haines, AK","Alaska",
"HNS","Haines, AK: Haines Municipal","Haines, AK","Alaska",
"HNS","Haines, AK: Haines Municipal","Haines, AK","Alaska",
"DQV","Haines, AK: Glacier Point","Haines, AK","Alaska",
"HBC","Hanus Bay, AK: Hanus Bay Airport","Hanus Bay, AK","Alaska",
"HKB","Healy Lake, AK: Healy River","Healy Lake, AK","Alaska",
"HED","Herendeen, AK: Herendeen Bay","Herendeen, AK","Alaska",
"JZM","Hog River, AK: Hog River Airport","Hog River, AK","Alaska",
"HGZ","Hogatza, AK: Hogatza","Hogatza, AK","Alaska",
"HYL","Hollis, AK: Hollis Sea Plane Base","Hollis, AK","Alaska",
"HCR","Holy Cross, AK: Holy Cross Airport","Holy Cross, AK","Alaska",
"HOM","Homer, AK: Homer Airport","Homer, AK","Alaska",
"HMS","Homeshore, AK: Homeshore Airport","Homeshore, AK","Alaska",
"HNH","Hoonah, AK: Hoonah Airport","Hoonah, AK","Alaska",
"HPB","Hooper Bay, AK: Hooper Bay Airport","Hooper Bay, AK","Alaska",
"HUS","Hughes, AK: Hughes Airport","Hughes, AK","Alaska",
"HSL","Huslia, AK: Huslia Airport","Huslia, AK","Alaska",
"HYG","Hydaburg, AK: Hydaburg Sea Plane Base","Hydaburg, AK","Alaska",
"WHD","Hyder, AK: Hyder Sea Plane Base","Hyder, AK","Alaska",
"ILI","Iliamna, AK: Iliamna Roadhouse","Iliamna, AK","Alaska",
"ZXF","Illinois Creek, AK: Illinois Creek Airport","Illinois Creek, AK","Alaska",
"FVZ","Deadhorse, AK: Inigok","Deadhorse, AK","Alaska",
"VZK","Kodiak, AK: International Seafoods","Kodiak, AK","Alaska",
"KIB","Ivanof Bay, AK: Ivanof Bay Sea Plane Base","Ivanof Bay, AK","Alaska",
"FVK","Jasper, AK: Jasper Airport","Jasper, AK","Alaska",
"VZM","Jensens Strip, AK: Jensens Strip Airport","Jensens Strip, AK","Alaska",
"JNU","Juneau, AK: Juneau","Juneau, AK","Alaska",
"JSE","Juneau, AK: Juneau Sea Plane Base","Juneau, AK","Alaska",
"KAE","Kake, AK: Kake Sea Plane Base","Kake, AK","Alaska",
"KNK","Kakhonak, AK: Kakhonak New","Kakhonak, AK","Alaska",
"KKK","Kalakaket, AK: Kalakaket Creek Afs","Kalakaket, AK","Alaska",
"KLG","Kalskag, AK: Kalskag Airport","Kalskag, AK","Alaska",
"KAL","Kaltag, AK: Kaltag Airport","Kaltag, AK","Alaska",
"KYK","Karluk, AK: Karluk Airport","Karluk, AK","Alaska",
"KKL","Karluk Lake, AK: Karluk Lake Sea Plane Base","Karluk Lake, AK","Alaska",
"KXA","Kasaan, AK: Kasaan Sea Plane Base","Kasaan, AK","Alaska",
"VZS","Kashvik Bay, AK: Kashvik Bay Airport","Kashvik Bay, AK","Alaska",
"KUK","Kasigluk, AK: Kasigluk Airport","Kasigluk, AK","Alaska",
"VZR","Katmai Bay, AK: Katmai Bay Airport","Katmai Bay, AK","Alaska",
"VZY","Katmai Lodge, AK: Katmai Lodge Airport","Katmai Lodge, AK","Alaska",
"ENA","Kenai, AK: Kenai Municipal","Kenai, AK","Alaska",
"/KT","Ketchikan, AK: (Ketchikan Mean)","Ketchikan, AK","Alaska",
"KTN","Ketchikan, AK: Ketchikan International","Ketchikan, AK","Alaska",
"WFB","Ketchikan, AK: Ketchikan Waterfront Sea Plane Base","Ketchikan, AK","Alaska",
"DQU","Ketchikan, AK: Neets Bay","Ketchikan, AK","Alaska",
"QQB","Keyes Point, AK: Keyes Point Airport","Keyes Point, AK","Alaska",
"IAN","Kiana, AK: Bob Baker Memorial","Kiana, AK","Alaska",
"WQX","Kiavak, AK: Kiavak Airport","Kiavak, AK","Alaska",
"KVC","King Cove, AK: King Cove Airport","King Cove, AK","Alaska",
"AKN","King Salmon, AK: King Salmon Airport","King Salmon, AK","Alaska",
"KPN","Kipnuk, AK: Kipnuk Airport","Kipnuk, AK","Alaska",
"KVL","Kivalina, AK: Kivalina Airport","Kivalina, AK","Alaska",
"KLW","Klawock, AK: Klawock","Klawock, AK","Alaska",
"OBU","Kobuk, AK: Kobuk Airport","Kobuk, AK","Alaska",
"ADQ","Kodiak, AK: Kodiak","Kodiak, AK","Alaska",
