"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"PCT","Princeton, NJ: Princeton Airport","Princeton, NJ","New Jersey",
"TTN","Trenton, NJ: Mercer County","Trenton, NJ","New Jersey",
"/AY","Atlantic City, NJ: /Ay Navy Air Field ec","Atlantic City, NJ","New Jersey",
"/AY","Atlantic City, NJ: /Ay Atlantic City Metro-Up 1","Atlantic City, NJ","New Jersey",
"LDJ","Linden, NJ: Linden Airport","Linden, NJ","New Jersey",
"LLY","Mount Holly, NJ: Mount Holly Airport","Mount Holly, NJ","New Jersey",
"TEB","Teterboro, NJ: Teterboro Airport","Teterboro, NJ","New Jersey",
"ALB","Albany, NY: Albany County","Albany, NY","New York",
"AXB","Alexandria Bay, NY: Alexandria Bay Airport","Alexandria Bay, NY","New York",
"BGM","Binghamton/Endct/Jhnsn Cty, NY: Broome County","Binghamton/Endct/Jhnsn Cty, NY","New York",
"BUF","Buffalo, NY: Buffalo Niagara International","Buffalo, NY","New York",
"HTO","East Hampton, NY: East Hampton Airport","East Hampton, NY","New York",
"HTO","East Hampton, NY: East Hampton Airport","East Hampton, NY","New York",
"ELM","Elmira/Corning, NY: Harris Hill Glider Port","Elmira/Corning, NY","New York",
"FRG","Farmingdale, NY: Republic","Farmingdale, NY","New York",
"DQK","Fort Drum, NY: Wheeler-Sack Army Airfield","Fort Drum, NY","New York",
"JHC","Garden City, NY: Island Heliport","Garden City, NY","New York",
"GFL","Glens Falls, NY: Warren County","Glens Falls, NY","New York",
"ISP","Islip, NY: Long Island-Macarthur","Islip, NY","New York",
"ITH","Ithaca/Cortland, NY: Tompkins County","Ithaca/Cortland, NY","New York",
"JHW","Jamestown, NY: Chautauqua County","Jamestown, NY","New York",
"MSS","Massena, NY: Richards Field","Massena, NY","New York",
"MGJ","Montgomery, NY: Orange County","Montgomery, NY","New York",
"OIC","Norwich, NY: Eaton","Norwich, NY","New York",
"LGA","New York, NY: La Guardia","New York, NY","New York",
"EWR","Newark, NJ: Newark Liberty International","Newark, NJ","New Jersey",
"JPB","New York, NY: Pan Am Building Heliport","New York, NY","New York",
"JRB","New York, NY: Wall Street Heliport","New York, NY","New York",
"TSS","New York, NY: East 34th Street","New York, NY","New York",
"JRA","New York, NY: West 30th Street Heliport","New York, NY","New York",
"WTC","New York, NY: World Trade Center Heliport","New York, NY","New York",
"NYC","New York, NY: Metropolitan Area","New York, NY","New York",
"SWF","Newburgh/Poughkeepsie, NY: Stewart","Newburgh/Poughkeepsie, NY","New York",
"IAG","Niagara Falls, NY: Niagara Falls International","Niagara Falls, NY","New York",
"OGS","Ogdensburg, NY: Ogdensburg International","Ogdensburg, NY","New York",
"OLE","Olean, NY: Olean Municipal","Olean, NY","New York",
"ONH","Oneonta, NY: Oneonta Municipal","Oneonta, NY","New York",
"WQA","Ovid, NY: Ovid Airport","Ovid, NY","New York",
"PLB","Plattsburg, NY: Clinton County","Plattsburg, NY","New York",
"POU","Poughkeepsie, NY: Dutchess County","Poughkeepsie, NY","New York",
"ROC","Rochester, NY: Rochester Monroe County","Rochester, NY","New York",
"RME","Rome, NY: Griffiss Air Force Base","Rome, NY","New York",
"SLK","Saranac Lake/Lake Placid, NY: Adirondack","Saranac Lake/Lake Placid, NY","New York",
"VWK","Saratoga Springs, NY: Saratoga County","Saratoga Springs, NY","New York",
"DFW","Dallas/Ft. Worth, TX: Dallas Ft. Worth Regional     7403     Dfw","Dallas/Ft. Worth, TX","Texas",
"DAL","Dallas, TX: Dallas Love Field","Dallas/Ft. Worth, TX","Texas",
"FTW","Dallas/Ft. Worth, TX: Meacham Field","Dallas/Ft. Worth, TX","Texas",
"ADS","Dallas/Ft.Worth, TX: Addison","Dallas/Ft.Worth, TX","Texas",
"FWH","Dallas/Ft.Worth, TX: Carswell Air Force Base","Dallas/Ft.Worth, TX","Texas",
"DFW","Dallas/Ft.Worth, TX: Dallas/Ft Worth International","Dallas/Ft.Worth, TX","Texas",
"DNE","Dallas/Ft.Worth, TX: Dallas North","Dallas/Ft.Worth, TX","Texas",
"JDB","Dallas/Ft.Worth, TX: Downtown Heliport","Dallas/Ft.Worth, TX","Texas",
"AFW","Dallas/Ft.Worth, TX: Fort Worth Alliance","Dallas/Ft.Worth, TX","Texas",
"DAL","Dallas, TX: Dallas Love Field","Dallas, TX","Texas",
"FTW","Dallas/Ft.Worth, TX: Fort Worth Meacham","Dallas/Ft.Worth, TX","Texas",
"RBD","Dallas/Ft.Worth, TX: Redbird","Dallas/Ft.Worth, TX","Texas",
"DRT","Del Rio, TX: Del Rio International","Del Rio, TX","Texas",
"DLF","Del Rio, TX: Laughlin Air Force Base","Del Rio, TX","Texas",
"EGP","Eagle Pass, TX: Eagle Pass Municipal","Eagle Pass, TX","Texas",
"BIF","El Paso, TX: Biggs Army Air Field","El Paso, TX","Texas",
"ELP","El Paso, TX: El Paso International","El Paso, TX","Texas",
"FWH","Fort Worth, TX: Carswell Air Force Base","Fort Worth, TX","Texas",
"FST","Ft. Stockton, TX: Fort Stockton Pecos County","Ft. Stockton, TX","Texas",
"GLS","Galveston, TX: Scholes Field","Galveston, TX","Texas",
"GVT","Greenville, TX: Majors","Greenville, TX","Texas",
"HRL","Harlingen/San Benito, TX: Harlingen Industrial Airprk","Harlingen/San Benito, TX","Texas",
"VWX","Hondo, TX: Hondo Municipal","Hondo, TX","Texas",
"EFD","Houston, TX: Ellington Field","Houston, TX","Texas",
"IAH","Houston, TX: Houston Intercontinental","Houston, TX","Texas",
"HOU","Houston, TX: William P Hobby","Houston, TX","Texas",
"ERV","Kerrville, TX: Kerrville Municipal","Kerrville, TX","Texas",
"GRK","Killeen, TX: Robert Gray Army Air Field","Killeen, TX","Texas",
"ILE","Killeen, TX: Killeen Municipal","Killeen, TX","Texas",
"NQI","Kingsville, TX: Kingsville Nas","Kingsville, TX","Texas",
"LJN","Lake Jackson, TX: Brazoria County","Lake Jackson, TX","Texas",
"LRD","Laredo, TX: Laredo Air Force Base","Laredo, TX","Texas",
"LOI","Laredo, TX: Laredo International","Laredo, TX","Texas",
"GGG","Longview/Kilgor/Gladwatr, TX: Gregg County","Longview/Kilgor/Gladwatr, TX","Texas",
"LBB","Lubbock, TX: Lubbock Regional","Lubbock, TX","Texas",
