12530	2003
11898	2004
11653	2002
11149	2001
10672	2000
9665	1999
8761	1998
8079	1997
7362	1996
7223	1995
6754	1994
6294	1993
5925	1992
5409	1991
5344	1990
5088	1989
5024	1988
4896	1987
4692	1986
4562	1985
4200	1984
3942	1983
3902	1982
3814	1980
3698	1981
3685	1979
3581	1968
3572	1976
3569	1974
3560	1975
3533	1972
3510	1978
3502	1915
3477	1973
3397	1969
3350	1971
3345	1970
3343	1977
3230	1967
3187	1913
3160	1966
3074	1914
3018	1965
2907	1916
2849	1912
2764	1964
2587	1962
2543	1963
2480	1961
2441	1960
2438	1917
2404	2005
2303	1959
2269	1958
2242	1957
2142	1956
2079	1955
2028	1954
1998	1953
1933	1952
1870	1938
1864	1937
1843	1920
1833	1936
1797	1919
1791	1951
1759	1950
1757	1949
1757	1934
1740	1918
1726	1935
1718	1939
1665	1926
1646	1933
1640	1927
1628	1921
1622	1911
1613	1932
1590	1942
1568	1928
1565	1925
1559	1940
1543	1922
1543	1948
1525	1931
1521	1929
1511	1924
1510	1941
1477	1930
1449	1943
1414	1947
1402	1923
1391	1946
1304	1944
1267	1945
824	1910
527	1909
229	1908
165	2006
103	1898
101	1902
101	1899
82	1907
81	1901
73	1903
70	1900
66	1897
61	1906
59	1896
35	1894
34	1905
22	1895
16	1904
10	2007
4	1891
3	1890
2	1892
2	1893
