domain,country,state,cite,Geolocatable address,Coordinates,latitude,longitude,count
clearwire-dns.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
rr.com,us,pa,philadelphia,"philadelphia, pa, us","40.0068, -75.1347",40.0068,-75.1347,2
co.uk,uk,,reading,"reading, , uk","51.4333, -1",51.4333,-1,2
co.uk,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,2
169.2,us,,(unknown city),"(unknown city), , us",", ",,,2
windjammercable.net,us,ma,boston,"boston, ma, us","42.336, -71.0179",42.336,-71.0179,2
gaoland.net,fr,,(unknown city),"(unknown city), , fr",", ",,,2
otenet.gr,gr,,vria,"vria, , gr","37.1833, 22.55",37.1833,22.55,2
sonic.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
86.9,us,,(unknown city),"(unknown city), , us",", ",,,2
telelet.dk,dk,,copenhagen,"copenhagen, , dk","55.6667, 12.5667",55.6667,12.5667,2
onelinkpr.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
ontelecoms.gr,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,2
jazztel.es,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
comcastbusiness.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
comcast.net,us,nj,west orange,"west orange, nj, us","40.7833, -74.25",40.7833,-74.25,2
inode.at,at,,vienna,"vienna, , at","48.2333, 16.3333",48.2333,16.3333,2
183.45,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
142.156,us,,(unknown city),"(unknown city), , us",", ",,,2
12.187,pl,,(unknown city),"(unknown city), , pl",", ",,,2
cox.net,us,,(unknown city),"(unknown city), , us",", ",,,2
14.118,at,,vienna,"vienna, , at","48.2333, 16.3333",48.2333,16.3333,2
metrocast.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
comcast.net,us,ca,san francisco,"san francisco, ca, us","37.8133, -122.505",37.8133,-122.505,2
virginmedia.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
comcast.net,us,md,baltimore,"baltimore, md, us","39.3008, -76.6106",39.3008,-76.6106,2
otenet.gr,gr,,(unknown city),"(unknown city), , gr",", ",,,2
comcast.net,us,nj,brick,"brick, nj, us","40.0575, -74.11",40.0575,-74.11,2
comcast.net,us,nj,toms river,"toms river, nj, us","39.9546, -74.1844",39.9546,-74.1844,2
swbell.net,us,,(unknown city),"(unknown city), , us",", ",,,2
google.com,us,ca,mountain view,"mountain view, ca, us","37.402, -122.078",37.402,-122.078,2
chello.nl,nl,,(unknown city),"(unknown city), , nl",", ",,,2
iol.it,eu,,(unknown city),"(unknown city), , eu",", ",,,2
elisa-laajakaista.fi,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
147.52,us,,(unknown city),"(unknown city), , us",", ",,,2
79.123,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,2
virginmedia.com,uk,,(unknown city),"(unknown city), , uk",", ",,,2
alice.nl,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
surewest.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
nwt.cz,cz,,uhersk brod,"uhersk brod, , cz","49.0333, 17.65",49.0333,17.65,2
vodafone.it,it,,roma,"roma, , it","41.9, 12.4833",41.9,12.4833,2
comcast.net,us,ca,millbrae,"millbrae, ca, us","37.5991, -122.401",37.5991,-122.401,2
surfer.at,at,,(unknown city),"(unknown city), , at",", ",,,2
as9105.com,uk,,milton keynes,"milton keynes, , uk","52.0333, -0.7",52.0333,-0.7,2
comcast.net,us,ca,san jose,"san jose, ca, us","37.304, -121.85",37.304,-121.85,2
home.nl,nl,,(unknown city),"(unknown city), , nl",", ",,,2
com.br,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
mindspring.com,us,ga,atlanta,"atlanta, ga, us","33.7629, -84.4226",33.7629,-84.4226,2
aliant.net,ca,,(unknown city),"(unknown city), , ca",", ",,,2
otenet.gr,gr,,thessalonki,"thessalonki, , gr","40.6333, 22.9333",40.6333,22.9333,2
rr.com,ca,,(unknown city),"(unknown city), , ca",", ",,,2
tiscali.it,it,,(unknown city),"(unknown city), , it",", ",,,2
optonline.net,us,nj,oakland,"oakland, nj, us","41.0314, -74.2404",41.0314,-74.2404,2
cox.net,us,ca,san diego,"san diego, ca, us","32.8149, -117.136",32.8149,-117.136,2
net.co,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
co.uk,uk,,oxford,"oxford, , uk","51.75, -1.25",51.75,-1.25,2
comcast.net,us,ca,pomona,"pomona, ca, us","34.0589, -117.761",34.0589,-117.761,2
174.12,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
ntl.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
garr.it,it,,(unknown city),"(unknown city), , it",", ",,,2
80.188,us,ca,stanford,"stanford, ca, us","37.424, -122.165",37.424,-122.165,2
in-addr.arpa,uk,,(unknown city),"(unknown city), , uk",", ",,,2
cwjamaica.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,2
merunetworks.com,us,nj,princeton,"princeton, nj, us","40.3503, -74.6594",40.3503,-74.6594,2
7.255,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,2
8.11,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
charter.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
spcsdns.net,us,,(unknown city),"(unknown city), , us",", ",,,1
bellsouth.net,us,ga,marietta,"marietta, ga, us","33.951, -84.5411",33.951,-84.5411,1
arcor-ip.net,de,,eschborn,"eschborn, , de","50.1333, 8.55",50.1333,8.55,1
vif.net,ca,,(unknown city),"(unknown city), , ca",", ",,,1
78.184,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,1
wintersbroadband.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
telfort.nl,nl,,leiden,"leiden, , nl","52.15, 4.5",52.15,4.5,1
com.pk,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
m-online.net,de,,germering,"germering, , de","47.9, 12.1167",47.9,12.1167,1
telus.net,us,ca,vallejo,"vallejo, ca, us","38.1075, -122.264",38.1075,-122.264,1
comcast.net,us,md,rockville,"rockville, md, us","39.0812, -77.1539",39.0812,-77.1539,1
windstream.net,us,nc,charlotte,"charlotte, nc, us","35.1976, -80.8345",35.1976,-80.8345,1
algx.net,us,,(unknown city),"(unknown city), , us",", ",,,1
coditel.net,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
7.192,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
159.1,uk,,reading,"reading, , uk","51.4333, -1",51.4333,-1,1
84.2,us,ca,los angeles,"los angeles, ca, us","34.1121, -118.411",34.1121,-118.411,1
chello.nl,nl,,almere,"almere, , nl","52.36, 5.17",52.36,5.17,1
38.202,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,1
174.235,uk,,(unknown city),"(unknown city), , uk",", ",,,1
27.2,uk,,(unknown city),"(unknown city), , uk",", ",,,1
execulink.com,ca,nb,woodstock,"woodstock, nb, ca","43.1333, -80.75",43.1333,-80.75,1
ameritech.net,us,,(unknown city),"(unknown city), , us",", ",,,1
arcor-ip.net,de,,(unknown city),"(unknown city), , de",", ",,,1
nasa.gov,us,,(unknown city),"(unknown city), , us",", ",,,1
mediaways.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
152.152,us,,(unknown city),"(unknown city), , us",", ",,,1
cyberdavis.net,us,ia,waukee,"waukee, ia, us","41.6076, -93.8624",41.6076,-93.8624,1
kabel-badenwuerttemberg.de,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
charter.com,us,mo,st louis,"st louis, mo, us","38.6361, -90.2443",38.6361,-90.2443,1
9.73,gr,,(unknown city),"(unknown city), , gr",", ",,,1
ukrtel.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
ucsb.edu,us,ca,santa barbara,"santa barbara, ca, us","34.4285, -119.722",34.4285,-119.722,1
frontiernet.net,us,ny,rochester,"rochester, ny, us","43.1687, -77.6158",43.1687,-77.6158,1
qwest.net,us,,(unknown city),"(unknown city), , us",", ",,,1
rcn.com,us,,(unknown city),"(unknown city), , us",", ",,,1
cox.net,us,az,gilbert,"gilbert, az, us","33.332, -111.764",33.332,-111.764,1
145.136,cz,,uhersk brod,"uhersk brod, , cz","49.0333, 17.65",49.0333,17.65,1
140.146,us,ca,roseville,"roseville, ca, us","38.7598, -121.294",38.7598,-121.294,1
rcn.com,us,ma,boston,"boston, ma, us","42.336, -71.0179",42.336,-71.0179,1
251.194,us,ny,new york,"new york, ny, us","40.6698, -73.9438",40.6698,-73.9438,1
alicedsl.de,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
42.13,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
62.225,us,tx,richardson,"richardson, tx, us","32.9728, -96.7098",32.9728,-96.7098,1
242.194,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
co.uk,uk,,bristol,"bristol, , uk","51.45, -2.5833",51.45,-2.5833,1
charter.com,us,ca,redding,"redding, ca, us","40.5724, -122.365",40.5724,-122.365,1
180.84,nl,,leiden,"leiden, , nl","52.15, 4.5",52.15,4.5,1
227.125,us,ut,salt lake city,"salt lake city, ut, us","40.7773, -111.93",40.7773,-111.93,1
62.34,at,,salzburg,"salzburg, , at","47.8, 13.0333",47.8,13.0333,1
freedom2surf.net,uk,,(unknown city),"(unknown city), , uk",", ",,,1
insightbb.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
optonline.net,us,nj,dover,"dover, nj, us","40.8859, -74.5597",40.8859,-74.5597,1
home.nl,nl,,tilburg,"tilburg, , nl","51.5667, 5.08333",51.5667,5.08333,1
cpifiber.com,us,wa,port angeles,"port angeles, wa, us","48.191, -123.46",48.191,-123.46,1
63.12,it,,roma,"roma, , it","41.9, 12.4833",41.9,12.4833,1
bluecom.no,no,,(unknown city),"(unknown city), , no",", ",,,1
rima-tde.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
videotron.ca,ca,,quebec,"quebec, , ca","46.8167, -71.2333",46.8167,-71.2333,1
comcast.net,us,ca,stockton,"stockton, ca, us","37.9698, -121.307",37.9698,-121.307,1
optonline.net,us,nj,boonton,"boonton, nj, us","40.9041, -74.4055",40.9041,-74.4055,1
cgocable.net,ca,,st. catherines,"st. catherines, , ca","43.183, -79.233",43.183,-79.233,1
213.68,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,1
comcast.net,us,ca,elk grove,"elk grove, ca, us","38.4008, -121.367",38.4008,-121.367,1
forthnet.gr,gr,,carpathos,"carpathos, , gr","35.6667, 27.1667",35.6667,27.1667,1
executivecentre.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
evolving-networks.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
89.134,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
psu.edu,us,pa,university park,"university park, pa, us","40.801, -77.856",40.801,-77.856,1
comcast.net,us,pa,doylestown,"doylestown, pa, us","40.314, -75.1279",40.314,-75.1279,1
242.3,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
93.222,us,,(unknown city),"(unknown city), , us",", ",,,1
rr.com,us,tx,san antonio,"san antonio, tx, us","29.4576, -98.5054",29.4576,-98.5054,1
184.2,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
153.76,no,,(unknown city),"(unknown city), , no",", ",,,1
48.4,de,,krten,"krten, , de","51.05, 7.2667",51.05,7.2667,1
optimus.pt,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
myfairpoint.net,us,va,reston,"reston, va, us","38.95, -77.35",38.95,-77.35,1
75.24,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
inttrust.gr,gr,,(unknown city),"(unknown city), , gr",", ",,,1
telenet.be,be,,mechelen,"mechelen, , be","50.7333, 5.25",50.7333,5.25,1
bredbandsbolaget.se,se,,(unknown city),"(unknown city), , se",", ",,,1
comcast.net,us,nj,browns mills,"browns mills, nj, us","39.9833, -74.5667",39.9833,-74.5667,1
co.uk,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
att.net,us,ny,new york,"new york, ny, us","40.6698, -73.9438",40.6698,-73.9438,1
120.213,at,,(unknown city),"(unknown city), , at",", ",,,1
videotron.ca,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
108.253,hu,,pcs,"pcs, , hu","46.0833, 18.2333",46.0833,18.2333,1
12.19,pl,,cracow,"cracow, , pl","50.0833, 19.9167",50.0833,19.9167,1
comcast.net,us,pa,mechanicsburg,"mechanicsburg, pa, us","40.2101, -77.0055",40.2101,-77.0055,1
nuvisions.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
proxad.net,fr,,(unknown city),"(unknown city), , fr",", ",,,1
epicsystems.com,us,wi,verona,"verona, wi, us","42.9888, -89.5354",42.9888,-89.5354,1
133.126,nl,,houten,"houten, , nl","52.0333, 5.1667",52.0333,5.1667,1
65.83,us,,(unknown city),"(unknown city), , us",", ",,,1
invitel.hu,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
khbo.be,be,,sint-michiels,"sint-michiels, , be","51.1833, 3.2",51.1833,3.2,1
co.uk,uk,,maidstone,"maidstone, , uk","51.2667, 0.5167",51.2667,0.5167,1
telecomitalia.it,it,,roma,"roma, , it","41.9, 12.4833",41.9,12.4833,1
covad.net,us,ca,santa rosa,"santa rosa, ca, us","38.4486, -122.701",38.4486,-122.701,1
115.126,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
alicedsl.de,de,,hamburg,"hamburg, , de","53.55, 10.0333",53.55,10.0333,1
pacbell.net,us,ca,san francisco,"san francisco, ca, us","37.8133, -122.505",37.8133,-122.505,1
videotron.ca,ca,,montreal,"montreal, , ca","45.5167, -73.5667",45.5167,-73.5667,1
161.8,us,,(unknown city),"(unknown city), , us",", ",,,1
covad.net,us,ca,hayward,"hayward, ca, us","37.6277, -122.105",37.6277,-122.105,1
sunflower.com,us,ks,lawrence,"lawrence, ks, us","38.9628, -95.2554",38.9628,-95.2554,1
comcast.net,us,pa,philadelphia,"philadelphia, pa, us","40.0068, -75.1347",40.0068,-75.1347,1
19.134,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
comcast.net,us,de,wilmington,"wilmington, de, us","39.7356, -75.53",39.7356,-75.53,1
telnet-inc.com,us,md,silver spring,"silver spring, md, us","39.0137, -77.0242",39.0137,-77.0242,1
135.188,at,,(unknown city),"(unknown city), , at",", ",,,1
comcast.net,us,ca,sunnyvale,"sunnyvale, ca, us","37.3857, -122.026",37.3857,-122.026,1
11.93,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,1
150.25,nl,,rotterdam,"rotterdam, , nl","51.9167, 4.48333",51.9167,4.48333,1
teilar.gr,gr,,(unknown city),"(unknown city), , gr",", ",,,1
trombleynet.net,us,ca,huntington beach,"huntington beach, ca, us","33.6918, -118.008",33.6918,-118.008,1
unitymediagroup.de,il,,tel aviv,"tel aviv, , il","32.0667, 34.7667",32.0667,34.7667,1
dslgb.com,uk,,(unknown city),"(unknown city), , uk",", ",,,1
comcast.net,us,ca,fremont,"fremont, ca, us","37.5285, -121.997",37.5285,-121.997,1
surfnetc.com,us,ca,santa cruz,"santa cruz, ca, us","36.9733, -122.036",36.9733,-122.036,1
esat.net,ie,,dublin,"dublin, , ie","53.3333, -6.25",53.3333,-6.25,1
comcast.net,us,va,arlington,"arlington, va, us","38.8787, -77.1019",38.8787,-77.1019,1
shawcable.net,ca,,(unknown city),"(unknown city), , ca",", ",,,1
hispeed.ch,ch,,(unknown city),"(unknown city), , ch",", ",,,1
dslextreme.com,us,ca,davis,"davis, ca, us","38.555, -121.736",38.555,-121.736,1
windstream.net,us,,(unknown city),"(unknown city), , us",", ",,,1
chello.nl,nl,,dordrecht,"dordrecht, , nl","51.8, 4.6667",51.8,4.6667,1
76.91,us,md,silver spring,"silver spring, md, us","39.0137, -77.0242",39.0137,-77.0242,1
comcast.net,us,co,westminster,"westminster, co, us","39.8815, -105.051",39.8815,-105.051,1
btcentralplus.com,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,1
rr.com,us,va,ashburn,"ashburn, va, us","39.05, -77.4833",39.05,-77.4833,1
comcast.net,us,ca,livermore,"livermore, ca, us","37.6919, -121.764",37.6919,-121.764,1
28.47,us,,(unknown city),"(unknown city), , us",", ",,,1
cbnetworks.gr,gr,,(unknown city),"(unknown city), , gr",", ",,,1
bell.ca,ca,,(unknown city),"(unknown city), , ca",", ",,,1
mindspring.com,us,ny,brooklyn,"brooklyn, ny, us","40.635, -73.95",40.635,-73.95,1
rcn.com,us,pa,allentown,"allentown, pa, us","40.5963, -75.4777",40.5963,-75.4777,1
optonline.net,us,nj,ridgewood,"ridgewood, nj, us","40.9811, -74.1139",40.9811,-74.1139,1
southern.edu,us,tn,collegedale,"collegedale, tn, us","35.0447, -85.0503",35.0447,-85.0503,1
telekom.hu,hu,,sashalom,"sashalom, , hu","47.1167, 18.5",47.1167,18.5,1
rr.com,us,ny,macedon,"macedon, ny, us","43.0687, -77.3027",43.0687,-77.3027,1
ntlworld.ie,ie,,dublin,"dublin, , ie","53.3333, -6.25",53.3333,-6.25,1
eatel.net,us,la,gonzales,"gonzales, la, us","30.2168, -90.9236",30.2168,-90.9236,1
cablesurf.de,de,,munich,"munich, , de","48.1333, 11.5833",48.1333,11.5833,1
comcast.net,us,nj,cherry hill,"cherry hill, nj, us","39.9023, -74.9961",39.9023,-74.9961,1
forthnet.gr,gr,,thessaloniki,"thessaloniki, , gr","40.5264, 22.9778",40.5264,22.9778,1
vslesy.cz,cz,,hradec krlov,"hradec krlov, , cz","50.2167, 15.8333",50.2167,15.8333,1
comcast.net,us,nj,willingboro,"willingboro, nj, us","40.0271, -74.8874",40.0271,-74.8874,1
charter.com,us,wi,janesville,"janesville, wi, us","42.6847, -89.0155",42.6847,-89.0155,1
20.6,us,fl,tampa,"tampa, fl, us","27.959, -82.4821",27.959,-82.4821,1
tele2.de,se,,(unknown city),"(unknown city), , se",", ",,,1
nhcg.de,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
157.224,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
rcn.com,us,ny,new york,"new york, ny, us","40.6698, -73.9438",40.6698,-73.9438,1
tellas.gr,gr,,marosa,"marosa, , gr","40.55, 22.0333",40.55,22.0333,1
26.99,gr,,(unknown city),"(unknown city), , gr",", ",,,1
tds.net,us,mi,lansing,"lansing, mi, us","42.7091, -84.554",42.7091,-84.554,1
telfort.nl,nl,,amsterdam,"amsterdam, , nl","52.3667, 4.88333",52.3667,4.88333,1
staccomputers.com,us,va,reston,"reston, va, us","38.95, -77.35",38.95,-77.35,1
202.143,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
comcast.net,us,ca,mountain view,"mountain view, ca, us","37.402, -122.078",37.402,-122.078,1
14.25,nl,,groenlo,"groenlo, , nl","52.05, 6.6167",52.05,6.6167,1
comcast.net,us,ma,concord,"concord, ma, us","42.45, -71.33",42.45,-71.33,1
getinternet.no,ie,,(unknown city),"(unknown city), , ie",", ",,,1
harvard.edu,us,ma,cambridge,"cambridge, ma, us","42.3758, -71.1187",42.3758,-71.1187,1
windstream.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
235.232,ca,,montreal,"montreal, , ca","45.5167, -73.5667",45.5167,-73.5667,1
comcastbusiness.net,us,va,reston,"reston, va, us","38.95, -77.35",38.95,-77.35,1
eolo.it,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
virginmedia.com,uk,cambridgeshire,cambridge,"cambridge, cambridgeshire, uk","52.208, 0.122374",52.208,0.122374,1
87.131,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
ufl.edu,us,,(unknown city),"(unknown city), , us",", ",,,1
berkeley.edu,us,ca,berkeley,"berkeley, ca, us","37.8672, -122.297",37.8672,-122.297,1
comcast.net,us,pa,lancaster,"lancaster, pa, us","40.0419, -76.3012",40.0419,-76.3012,1
vantrix.com,ca,qc,laval,"laval, qc, ca","45.6, -73.7333",45.6,-73.7333,1
net24.it,eu,,(unknown city),"(unknown city), , eu",", ",,,1
co.uk,uk,,(unknown city),"(unknown city), , uk",", ",,,1
cableone.net,us,,(unknown city),"(unknown city), , us",", ",,,1
comcast.net,us,ma,hyannis,"hyannis, ma, us","41.6529, -70.2958",41.6529,-70.2958,1
rtccom.net,us,,(unknown city),"(unknown city), , us",", ",,,1
upc.cz,cz,,prague,"prague, , cz","50.0833, 14.4333",50.0833,14.4333,1
68.252,uk,,(unknown city),"(unknown city), , uk",", ",,,1
tds.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
inode.at,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
itcomp.pl,pl,,katowice,"katowice, , pl","50.2333, 19.0333",50.2333,19.0333,1
briteline.de,de,,(unknown city),"(unknown city), , de",", ",,,1
comcast.net,us,il,wheaton,"wheaton, il, us","41.856, -88.1076",41.856,-88.1076,1
155.211,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
grey.com,us,ny,pound ridge,"pound ridge, ny, us","41.216, -73.576",41.216,-73.576,1
