domain,country,state,cite,Geolocatable address,Coordinates,latitude,longitude,count
191.105,us,nj,secaucus,"secaucus, nj, us","40.7811, -74.0648",40.7811,-74.0648,1
ac.at,at,,vienna,"vienna, , at","48.2333, 16.3333",48.2333,16.3333,1
42.177,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
optonline.net,us,nj,hackensack,"hackensack, nj, us","40.8893, -74.0461",40.8893,-74.0461,1
arcor-ip.net,de,,bremen,"bremen, , de","53.08, 8.81",53.08,8.81,1
84.93,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
106.174,uk,,(unknown city),"(unknown city), , uk",", ",,,1
zetta.net,us,ca,san jose,"san jose, ca, us","37.304, -121.85",37.304,-121.85,1
1.107,us,ca,cupertino,"cupertino, ca, us","37.3144, -122.047",37.3144,-122.047,1
dslgb.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
otenet.gr,gr,,sandorni,"sandorni, , gr","36.4, 25.4333",36.4,25.4333,1
165.51,uk,,bedford,"bedford, , uk","52.1333, -0.45",52.1333,-0.45,1
comcast.net,us,ma,boston,"boston, ma, us","42.336, -71.0179",42.336,-71.0179,1
astound.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
cox.net,us,oh,rocky river,"rocky river, oh, us","41.473, -81.8543",41.473,-81.8543,1
rr.com,us,fl,brandon,"brandon, fl, us","27.9294, -82.2915",27.9294,-82.2915,1
60.96,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
56.162,nl,,eindhoven,"eindhoven, , nl","51.45, 5.48333",51.45,5.48333,1
tellas.gr,gr,,thessaloniki,"thessaloniki, , gr","40.5264, 22.9778",40.5264,22.9778,1
telia.com,de,,berlin,"berlin, , de","52.5, 13.4167",52.5,13.4167,1
suddenlink.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
guernseyop.com,us,ca,irvine,"irvine, ca, us","33.6621, -117.796",33.6621,-117.796,1
161.237,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
205.124,ca,,(unknown city),"(unknown city), , ca",", ",,,1
networktel.net,us,ga,alpharetta,"alpharetta, ga, us","34.0689, -84.272",34.0689,-84.272,1
55.96,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
124.166,us,va,reston,"reston, va, us","38.95, -77.35",38.95,-77.35,1
142.199,us,,(unknown city),"(unknown city), , us",", ",,,1
51.236,ca,on,toronto,"toronto, on, ca","43.65, -79.3833",43.65,-79.3833,1
concepts.nl,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
113.187,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
cgocable.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
sonic.net,us,ca,san francisco,"san francisco, ca, us","37.8133, -122.505",37.8133,-122.505,1
noncombatant.org,us,ca,sunnyvale,"sunnyvale, ca, us","37.3857, -122.026",37.3857,-122.026,1
rima-tde.net,es,,madrid,"madrid, , es","40.4333, -3.7",40.4333,-3.7,1
qwest.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
vdn.ca,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
aei.ca,ca,,montreal,"montreal, , ca","45.5167, -73.5667",45.5167,-73.5667,1
otenet.gr,ch,,zurich,"zurich, , ch","47.35, 8.51667",47.35,8.51667,1
153.55,no,,oslo,"oslo, , no","59.95, 10.7",59.95,10.7,1
optonline.net,us,ny,new york,"new york, ny, us","40.6698, -73.9438",40.6698,-73.9438,1
aol.com,uk,,(unknown city),"(unknown city), , uk",", ",,,1
4.68,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,1
mccann.com,us,mo,kansas city,"kansas city, mo, us","39.1223, -94.552",39.1223,-94.552,1
charter.com,us,nc,north wilkesboro,"north wilkesboro, nc, us","36.1697, -81.1422",36.1697,-81.1422,1
132.223,nl,,(unknown city),"(unknown city), , nl",", ",,,1
18.59,gr,,(unknown city),"(unknown city), , gr",", ",,,1
ono.com,es,,(unknown city),"(unknown city), , es",", ",,,1
252.7,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
228.5,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
autocom.pl,pl,,krakw,"krakw, , pl","50.0833, 19.9167",50.0833,19.9167,1
106.9,gr,,marosa,"marosa, , gr","40.55, 22.0333",40.55,22.0333,1
teksavvy.com,ca,on,ottawa,"ottawa, on, ca","45.4167, -75.7",45.4167,-75.7,1
ntua.gr,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,1
telia.com,se,,kallax,"kallax, , se","65.5167, 22.05",65.5167,22.05,1
205.52,nl,,(unknown city),"(unknown city), , nl",", ",,,1
optonline.net,us,nj,wall,"wall, nj, us","40.1671, -74.0981",40.1671,-74.0981,1
106.228,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
optonline.net,us,nj,freehold,"freehold, nj, us","40.2588, -74.2756",40.2588,-74.2756,1
auth.gr,gr,,thessaloniki,"thessaloniki, , gr","40.5264, 22.9778",40.5264,22.9778,1
rr.com,us,ny,brooklyn,"brooklyn, ny, us","40.635, -73.95",40.635,-73.95,1
165.154,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
spectec.se,se,,(unknown city),"(unknown city), , se",", ",,,1
insightbb.com,us,ky,louisville,"louisville, ky, us","38.2248, -85.7412",38.2248,-85.7412,1
astound.net,us,ca,san mateo,"san mateo, ca, us","37.5613, -122.312",37.5613,-122.312,1
comcast.net,us,pa,norristown,"norristown, pa, us","40.1222, -75.3397",40.1222,-75.3397,1
71.11,fi,,(unknown city),"(unknown city), , fi",", ",,,1
charter.com,us,mi,ironwood,"ironwood, mi, us","46.4545, -90.1526",46.4545,-90.1526,1
upenn.edu,us,,(unknown city),"(unknown city), , us",", ",,,1
23.147,us,va,fredericksburg,"fredericksburg, va, us","38.2993, -77.4871",38.2993,-77.4871,1
30.227,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
comcast.net,us,pa,coatesville,"coatesville, pa, us","39.9848, -75.8193",39.9848,-75.8193,1
hawaiiantel.net,us,hi,honolulu,"honolulu, hi, us","21.3167, -157.833",21.3167,-157.833,1
130.195,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
suddenlink.net,us,ca,vallejo,"vallejo, ca, us","38.1075, -122.264",38.1075,-122.264,1
comcast.net,us,ca,oakland,"oakland, ca, us","37.7715, -122.225",37.7715,-122.225,1
rr.com,us,fl,orlando,"orlando, fl, us","28.5047, -81.3742",28.5047,-81.3742,1
uci.edu,us,ca,santa barbara,"santa barbara, ca, us","34.4285, -119.722",34.4285,-119.722,1
comcastbusiness.net,us,ca,vallejo,"vallejo, ca, us","38.1075, -122.264",38.1075,-122.264,1
143.154,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
ucsf.edu,us,ca,daly city,"daly city, ca, us","37.687, -122.467",37.687,-122.467,1
8.236,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
chelmnet.pl,pl,,(unknown city),"(unknown city), , pl",", ",,,1
77.225,pl,,warszawa,"warszawa, , pl","52.25, 21",52.25,21,1
btcentralplus.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
237.152,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
ptd.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
186.5,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
home.nl,nl,,groningen,"groningen, , nl","53.2167, 6.56667",53.2167,6.56667,1
cox.net,us,va,fairfax,"fairfax, va, us","38.8536, -77.2982",38.8536,-77.2982,1
otenet.gr,gr,,karpensi,"karpensi, , gr","38.9167, 21.7833",38.9167,21.7833,1
nac.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
alicedsl.de,de,,munich,"munich, , de","48.1333, 11.5833",48.1333,11.5833,1
comcast.net,us,ma,hopkinton,"hopkinton, ma, us","42.2228, -71.5214",42.2228,-71.5214,1
44.82,uk,,croydon,"croydon, , uk","51.3833, -0.1",51.3833,-0.1,1
casema.nl,nl,,den haag,"den haag, , nl","52.0833, 4.31667",52.0833,4.31667,1
rr.com,us,ny,poughkeepsie,"poughkeepsie, ny, us","41.6958, -73.9225",41.6958,-73.9225,1
comcast.net,us,ca,sacramento,"sacramento, ca, us","38.5668, -121.467",38.5668,-121.467,1
ntl.com,uk,,belfast,"belfast, , uk","54.5833, -5.9333",54.5833,-5.9333,1
9.186,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
chello.nl,nl,,'t harde,"'t harde, , nl","52.4167, 5.8833",52.4167,5.8833,1
home.nl,nl,,roosendaal,"roosendaal, , nl","51.5333, 4.46667",51.5333,4.46667,1
137.39,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,1
kabelbw.de,de,,karlsruhe,"karlsruhe, , de","49.05, 8.4",49.05,8.4,1
grnet.gr,gr,,(unknown city),"(unknown city), , gr",", ",,,1
comcast.net,us,ga,marietta,"marietta, ga, us","33.951, -84.5411",33.951,-84.5411,1
sky.com,uk,,london,"london, , uk","51.5, -0.1167",51.5,-0.1167,1
superkabel.de,xx,,(unknown city?),"(unknown city?), , xx",", ",,,1
