FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
César | Abades | Se buscan fulmontis  | 1999 | M |  | M
Reyes | Abades | Días contados  | 1994 | M | 23 | M
Rene | Abadeza | Cacciatori del cobra d'oro, I  | 1982 | M | 5 | M
Rene | Abadeza | Code Name: Wild Geese  | 1984 | M |  | M
Rene | Abadeza | Double Target  | 1987 | M |  | M
Rene | Abadeza | Fuga dall'archipelago maledetto  | 1982 | M |  | M
Rene | Abadeza | Indio  | 1989 | M |  | M
Rene | Abadeza | Kommando Leopard  | 1985 | M |  | M
Rene | Abadeza | Leggenda del rubino malese, La  | 1985 | M | 7 | M
Rene | Abadeza | Strike Commando  | 1987 | M | 9 | M
Ebrahim | Abadi | Arousi-ye Khouban  | 1989 | M |  | M
Lysander O. | Abadia | Indie Pendant, The  | 2005 | M | 4 | M
Lysander O. | Abadia | Investigaytion  | 2004 | M |  | M
Lysander O. | Abadia | Mylène Farmer: Mylenium Tour  | 2000 | V | 12 | M
Lysander O. | Abadia | Objects of Wrath  | 2004 | V |  | M
Oscar | Abadia | Tequila Sunrise  | 1988 | a | 30 | M
Oscar | Abadia | Unlawful Entry  | 1992 | M | 20 | M
 | Abadie | Brigade des moeurs  | 1959 | M | 24 | M
A.C. | Abadie | Great Train Robbery, The  | 1903 | M |  | M
A.C. | Abadie | What Happened on Twenty-third Street, New York City  | 1901 | M |  | M
Brian | Abadie | Sextette  | 1978 | M | 34 | M
Hector | Abadie | Ah verda!  | 1974 | M | 2 | M
Jean-Claude | Abadie | Marie Tudor  | 1966 | TV | 18 | M
Jean-Jacques | Abadie | Ressources humaines  | 1999 | M | 26 | M
Romuald | Abadie | Moustique, Le  | 1980 | TV | 9 | M
William | Abadie | Pink Panther, The  | 2005 | M |  | M
William | Abadie | Unfaithful  | 2002 | M | 24 | M
Eksander | Abadii | Komitas  | 1988 | TV | 9 | M
Aleli | Abadilla | Case of Honor, A  | 1988 | M | 15 | M
Aleli | Abadilla | Night Swimming  | ???? | M |  | M
Luis | Abadié | Corazón bandolero  | 1934 | M | 18 | M
Luis | Abadié | Serenata en México  | 1956 | M |  | M
D. | Abadzhiev | Selskoto chudovishte  | 1939 | M | 4 | M
D. | Abadzhiev | Shushu-mushu  | 1941 | M | 4 | M
Dimitar | Abadzhiev | Glutnitzata  | 1972 | M | 26 | M
Dimitar | Abadzhiev | Sasedkata  | 1988 | M | 21 | M
Dimitar | Abadzhiev | Stublenskite lipi  | 1960 | M | 12 | M
Lyubomir | Abadzhiev | Neshto vav vazduha  | 1993 | M | 19 | M
Alexander | Abadzis | Gospel of John, The  | 2003 | M |  | M
Jorge María | Abadía | Mientras arde el fuego  | 1982 | M |  | M
Julio | Abadía | Gilda  | 1946 | M |  | M
Julio | Abadía | Monerías  | 1931 | M | 5 | M
Julio | Abadía | Perilous Holiday  | 1946 | M |  | M
Julio | Abadía | Rosa de Francia  | 1936 | M |  | M
Julio | Abadía | Su última noche  | 1931 | M | 8 | M
Julio | Abadía | Walls Came Tumbling Down, The  | 1946 | M | 32 | M
Frank | Abagnale Jr. | 'Catch Me If You Can': Behind the Camera  | 2003 | V |  | M
Frank | Abagnale Jr. | Catch Me If You Can  | 2002 | a | 88 | M
Sonny | Abagnale | Falling in Love  | 1984 | M | 15 | M
Sonny | Abagnale | Ragtime  | 1981 | M | 55 | M
George | Abagnalo | Women in Revolt  | 1971 | M | 12 | M
Hervé | Abah | Chocolat  | 1988 | M | 20 | M
Hakun Jana | Abai | Ghame Afghan  | 1986 | M | 4 | M
Mohamed | Abaid | Autre France, L'  | 1977 | M |  | M
Mohamed | Abaid | Oeil du maître, L'  | 1980 | a | 14 | M
Assi | Abaiov | Ambassador, The  | 1984 | M | 17 | M
M. | Abaishvili | Ambavi Suramis tsikhitsa  | 1984 | M |  | M
G. | Abajanyan | Verjin kirakin  | 1986 | M |  | M
Gali | Abajdulov | Anyuta  | 1982 | TV | 3 | M
Gali | Abajdulov | Chapliniana  | 1987 | TV | 1 | M
Gali | Abajdulov | Meri Poppins, do svidaniya  | 1983 | TV | 12 | M
Gali | Abajdulov | Perikola  | 1984 | TV | 6 | M
Gali | Abajdulov | Pervaya vstrecha - poslednyaya vstrecha  | 1987 | M | 14 | M
Gali | Abajdulov | Piekna nieznajoma  | 1992 | M |  | M
Gali | Abajdulov | Prezumptsiya nevinovnosti  | 1988 | M | 13 | M
Gali | Abajdulov | Skaz pro Fedota-streltsa  | 2002 | M | 17 | M
Gali | Abajdulov | Staroye tango  | 1979 | TV | 6 | M
Gali | Abajdulov | Strasti po Neronu  | 1994 | M |  | M
Gali | Abajdulov | Tanets dyavola  | 1992 | M |  | M
Gali | Abajdulov | Vremya pechali yeshchyo ne prishlo  | 1994 | M |  | M
Gali | Abajdulov | Ya gotov prinyat vyzov  | 1983 | M |  | M
Gali | Abajdulov | "Dym"  | 1992 | mini | 14 | M
Gali | Abajdulov | "Mif"  | 1986 | mini | 7 | M
Gali | Abajdulov | "Ostrov pogibshikh korablej"  | 1987 | mini | 7 | M
David | Abajo | Gotera, La  | 1996 | M |  | M
Mohamed | Abajou | Just Do It  | 1997 | M |  | M
Vladimir | Abajyan | Huso astgh  | 1978 | M | 19 | M
Vladimir | Abajyan | Lalvari vorskane  | 1967 | M | 6 | M
M.M. | Abakar | Bye Bye Africa  | 1999 | M | 28 | M
Askhab | Abakarov | Priklyucheniya printsa Florizelya  | 1979 | TV | 9 | M
Askhab | Abakarov | Uznik zamka If  | 1988 | a | 30 | M
Suvit | Abakaz | Good Morning, Vietnam  | 1987 | M | 23 | M
 | Abake | Afanti  | 1980 | M |  | M
A. | Abakirov | Priyut dlya sovershennoletnikh  | 1987 | M | 14 | M
O. | Abakumov | Chuvstvitelnyj militsioner  | 1992 | M | 27 | M
Errol | Abalayan | "Star Circle Quest"  | 2004 | M |  | M
Jorge | Abalo | Che, El  | 1997 | M |  | M
Jorge | Abalo | Verso, El  | 1996 | M |  | M
Byron | Abalos | Blood Brothers  | 1993 | M | 10 | M
Coraje | Abalos | Bacanal  | 1999 | M | 2 | M
Coraje | Abalos | Dracula  | 1999 | TV |  | M
Coraje | Abalos | "90-60-90 modelos"  | 1996 | M |  | M
Coraje | Abalos | "Hermana mayor, La"  | 1995 | M | 4 | M
Coraje | Abalos | "Quereme"  | 1994 | M | 16 | M
Coraje | Abalos | "R.R.D.T"  | 1997 | M | 9 | M
Coraje | Abalos | "Son o se hacen"  | 1997 | M | 5 | M
David Brian | Abalos | Stand and Deliver  | 1988 | M | 38 | M
Jing | Abalos | Batman Fights Dracula  | 1967 | M |  | M
Jing | Abalos | Cuadro de Jack  | 1968 | M |  | M
Jing | Abalos | Deadly Jacks  | 1968 | M |  | M
Jing | Abalos | Hornets, The  | 1968 | M |  | M
Jing | Abalos | I Shall Return  | 1973 | M | 3 | M
Jing | Abalos | Killer Patrol  | 1968 | M |  | M
Jing | Abalos | Lady Untouchable  | 1968 | M |  | M
Jing | Abalos | Quinto de Alas  | 1968 | M | 4 | M
Jing | Abalos | Tatak: Sacramentados  | 1968 | M |  | M
Jing | Abalos | Walang hari sa batas  | 1968 | M |  | M
Eduard | Abalov | Chistye prudy  | 1969 | a |  | M
Eduard | Abalov | Novye priklyucheniya neulovimykh  | 1968 | a |  | M
Eduard | Abalov | Severnaya rapsodiya  | 1974 | M |  | M
Eduard | Abalov | Stryapukha  | 1965 | a |  | M
Eduard | Abalov | "12 stulyev"  | 1977 | mini |  | M
Leopoldo | Aban | Deuda interna, La  | 1988 | M |  | M
Odo | Abaquin | Oro, Plata, Mata  | 1983 | M | 39 | M
Joaquín | Abarca | Corneta vengadora, La  | 1989 | M | 28 | M
Pablo | Abarca | Muerte en Moscú  | 1994 | M | 7 | M
Paul | Abarca | Todo un hombre  | 1983 | M | 14 | M
Christian | Abard | Carnassiers, Les  | 1991 | TV | 18 | M
Erwin | Abarico | Quiet American, The  | 2002 | M | 37 | M
Rabadan | Abarkoroff | Artisty tsirka  | 1957 | M | 7 | M
Rabadan | Abarkoroff | Na arene tsirka  | 1951 | a | 46 | M
José María | Abarno | Salto mortal  | 1961 | M | 15 | M
Boris | Abarov | Trip van Teetje, De  | 1998 | M |  | M
Johnny | Abarrientos | Go Johnny Go  | 1997 | M | 1 | M
Boleslaw | Abart | Frankenstein  | 1993 | TV | 22 | M
Boleslaw | Abart | Klara i Angelika  | 1977 | TV |  | M
Boleslaw | Abart | Królowa chmur  | 2004 | TV | 10 | M
Boleslaw | Abart | Motodrama  | 1971 | M | 10 | M
Boleslaw | Abart | Obcy musi fruwac  | 1993 | M |  | M
Boleslaw | Abart | Potop  | 1974 | M | 46 | M
Boleslaw | Abart | Test pilota Pirksa  | 1979 | M |  | M
Boleslaw | Abart | Znaki na drodze  | 1971 | M | 5 | M
Christian | Abart | Femme des autres, La  | 1990 | TV |  | M
Christian | Abart | Noyade interdite  | 1987 | M |  | M
Christian | Abart | "Bleu de l'océan, Le"  | 2003 | mini |  | M
César | Abarzua | Encierro, El  | 1996 | M |  | M
Osama | Abas | "Mahmoud Al-Masri"  | 2004 | mini | 13 | M
Antonio | Abascal | "María Belén"  | 2001 | M | 60 | M
Cecilio | Abascal | Mama  | 1988 | M | 3 | M
Paul | Abascal | Die Hard 2  | 1990 | M | 55 | M
Paul | Abascal | Predator 2  | 1990 | M | 54 | M
Ramón | Abascal | Bonita  | 1996 | M |  | M
Ramón | Abascal | Días de combate  | 1994 | M | 10 | M
Ramón | Abascal | Santo Luzbel  | 1997 | M |  | M
Ramón | Abascal | "Antorcha encendida, La"  | 1997 | M | 12 | M
Ramón | Abascal | "Bendita Mentira"  | 1996 | M | 5 | M
Ramón | Abascal | "Hijos de nadie, Los"  | 1996 | M | 3 | M
Ramón | Abascal | "Luz en el camino, Una"  | 1998 | M | 4 | M
Ramón | Abascal | "Mágica juventud"  | 1992 | M | 5 | M
Ramón | Abascal | "Privilegio de amar, El"  | 1998 | M |  | M
Ramón | Abascal | "Sonrisa del diablo, La"  | 1996 | M | 8 | M
Pyotr | Abasheyev | Gor'kij mozhzhevel'nik  | 1985 | M | 1 | M
Pyotr | Abasheyev | Zemlya Sannikova  | 1973 | M | 8 | M
Dato | Abashidze | Au-u!  | 1975 | M | 8 | M
Dato | Abashidze | Data tutashkhia  | 1977 | TV | 7 | M
Dato | Abashidze | Natvris khe  | 1977 | M | 21 | M
Dodo | Abashidze | Ambavi Suramis tsikhitsa  | 1984 | M | 4 | M
Dodo | Abashidze | Ar daidardo  | 1969 | M | 12 | M
Dodo | Abashidze | Ar Daijero, Rom agar var  | 1975 | M | 1 | M
Dodo | Abashidze | Arachveulebrivi gamopena  | 1968 | M |  | M
Dodo | Abashidze | Ashugi Qaribi  | 1988 | M | 10 | M
Dodo | Abashidze | Bashi-Achuki  | 1956 | M | 2 | M
Dodo | Abashidze | Burti da moedani  | 1961 | M | 4 | M
Dodo | Abashidze | Chiakokona  | 1961 | M | 4 | M
Dodo | Abashidze | Chrichina  | 1954 | M | 8 | M
Dodo | Abashidze | Didi mtsvane veli  | 1967 | M | 1 | M
Dodo | Abashidze | Didostatis Marjvena  | 1969 | M | 12 | M
Dodo | Abashidze | Giorgobistve  | 1968 | M | 9 | M
Dodo | Abashidze | Khevsuruli balada  | 1965 | M | 5 | M
Dodo | Abashidze | Komandirovka  | 1961 | a | 2 | M
Dodo | Abashidze | Kvarkvare  | 1978 | M | 1 | M
Dodo | Abashidze | Magdanas lurja  | 1955 | M |  | M
Dodo | Abashidze | Male gazapkhuli mova  | 1967 | M |  | M
Dodo | Abashidze | Matsi khvitia  | 1966 | M |  | M
Dodo | Abashidze | Me vitkvi simartles  | 1958 | M | 5 | M
Dodo | Abashidze | Mezoblebi  | 1971 | M |  | M
Dodo | Abashidze | Mkhiaruli romani  | 1972 | M | 8 | M
Dodo | Abashidze | Mtsvervali  | 1976 | M | 8 | M
Dodo | Abashidze | Ori odjakhi  | 1959 | M | 3 | M
Dodo | Abashidze | Pesvebi  | 1987 | M | 2 | M
Dodo | Abashidze | Pieri - militsiis tanamshromeli  | 1965 | M | 8 | M
Dodo | Abashidze | Pirosmani  | 1969 | M |  | M
Dodo | Abashidze | Pirveli mertskhali  | 1975 | M | 1 | M
Dodo | Abashidze | Pokhishcheniye veka  | 1981 | M | 5 | M
Dodo | Abashidze | Qalaqi Anara  | 1976 | M | 6 | M
Dodo | Abashidze | Racha, chemi sikvaruli  | 1977 | M | 2 | M
Dodo | Abashidze | Rotsa akvavda nushi  | 1972 | M | 7 | M
Dodo | Abashidze | Sinatle chvens panjrebshi  | 1969 | M | 1 | M
Dodo | Abashidze | Tetri karavani  | 1963 | M | 8 | M
Dodo | Abashidze | Tserodena raindebi  | 1963 | M | 12 | M
Dodo | Abashidze | Tsimbireli papa  | 1973 | M | 1 | M
Dodo | Abashidze | Udiplomo sasidzo  | 1961 | M | 7 | M
Dodo | Abashidze | Veris ubnis melodiebi  | 1973 | M | 5 | M
Dodo | Abashidze | Zgvis mgeli  | 1973 | M | 4 | M
Dodo | Abashidze | Zgvis shvilebi  | 1964 | M | 7 | M
Gocha | Abashidze | Abezara  | 1957 | M |  | M
Gocha | Abashidze | Chrdili gzaze  | 1956 | M |  | M
Gocha | Abashidze | Chveni ezo  | 1957 | M | 5 | M
Gocha | Abashidze | Glakhis naambobi  | 1962 | M | 1 | M
Gocha | Abashidze | Isini chamovidnen mtidan  | 1954 | M | 4 | M
Gocha | Abashidze | Maya Tskhneteli  | 1959 | M |  | M
Gocha | Abashidze | Sad aris sheni bedniereba Mzia?  | 1959 | M | 3 | M
Gocha | Abashidze | Tsiskara  | 1955 | M | 3 | M
Levan | Abashidze | Akhalgazrda kompozitoris mogzauroba  | 1984 | M | 2 | M
Levan | Abashidze | Anemia  | 1988 | M | 1 | M
Levan | Abashidze | Ara, megobaro  | 1993 | M | 1 | M
Levan | Abashidze | Bravo, Giordano Bruno  | 1993 | M | 1 | M
Levan | Abashidze | Gost'  | 1987 | a | 2 | M
Levan | Abashidze | Oromtriali  | 1986 | M | 10 | M
Levan | Abashidze | Pesvebi  | 1987 | M | 5 | M
Levan | Abashidze | Ramodenime interviu pirad sakitkhebze  | 1979 | M | 6 | M
Levan | Abashidze | Sapekhuri  | 1986 | M | 3 | M
Shalva | Abashidze | Satnoebis kibe  | 1997 | M | 5 | M
Vaso | Abashidze | Arsena Jorjiashvili  | 1921 | M | 10 | M
Vaso | Abashidze | Khanuma  | 1927 | M | 10 | M
Vaso | Abashidze | Qristine  | 1916 | M |  | M
Heiam | Abasi | Har, Ha-  | 1991 | M |  | M
Alain | Abasie | Quatre Charlots mousquetaires, Les  | 1974 | M | 32 | M
Roland T. | Abasolo | Dream with the Fishes  | 1997 | M | 32 | M
Roland T. | Abasolo | Getting Even with Dad  | 1994 | M | 24 | M
Roland T. | Abasolo | Happily Even After  | 2004 | M | 15 | M
Roland T. | Abasolo | Just One Night  | 2000 | a |  | M
Roland T. | Abasolo | True Crime  | 1999 | a | 47 | M
Aladdin | Abasov | Nizami  | 1982 | M | 4 | M
Aladdin | Abasov | Signal s morya  | 1987 | a | 10 | M
Aladdin | Abasov | Staryj prichal  | 1986 | M | 3 | M
Aladdin | Abasov | Tsentrovoj iz podnebesya  | 1975 | M |  | M
Aladdin | Abasov | Ösge vacht  | 1996 | M |  | M
R. | Abasov | Vzlomshchik  | 1986 | M |  | M
